llave_persona,P203,P207,Edad,Ocupado,Informal,Billetera,CreditoFormal_2024,FACTOR07,P301A,CreditoFormal_2025
15017-31-11-1,1,2,85.0,1,0.0,0,0,102.967529296875,4.0,0
15019-20-11-1,1,2,84.0,1,0.0,0,0,84.0562210083008,3.0,0
15019-20-11-2,3,2,65.0,1,0.0,0,0,84.0562210083008,8.0,0
15019-20-11-3,3,2,64.0,1,0.0,0,0,84.0562210083008,10.0,0
15019-20-11-4,3,1,62.0,1,1.0,0,0,84.0562210083008,9.0,0
15019-20-11-5,3,2,59.0,1,0.0,0,0,84.0562210083008,8.0,0
15019-29-11-1,1,2,73.0,1,0.0,1,0,84.0562210083008,6.0,0
15019-69-11-1,1,2,74.0,1,0.0,0,0,84.0562210083008,4.0,0
15019-89-11-1,1,1,61.0,1,0.0,1,1,84.0562210083008,11.0,0
15019-89-11-2,2,2,58.0,1,0.0,0,0,84.0562210083008,10.0,0
15019-89-11-3,3,2,25.0,1,0.0,1,0,84.0562210083008,10.0,0
15019-89-11-4,5,2,8.0,0,,0,0,84.0562210083008,3.0,0
15020-47-11-1,1,1,61.0,1,1.0,0,0,79.8167572021484,6.0,0
15020-47-11-2,2,2,59.0,1,1.0,0,0,79.8167572021484,3.0,0
15020-47-11-3,3,1,14.0,1,1.0,0,0,79.8167572021484,5.0,0
15020-74-11-1,1,2,60.0,1,1.0,0,1,79.8167572021484,5.0,1
15020-88-11-1,1,2,49.0,1,0.0,1,0,79.8167572021484,8.0,0
15021-36-11-1,1,1,48.0,1,0.0,0,1,102.967529296875,10.0,1
15021-36-11-2,2,2,40.0,1,0.0,1,1,102.967529296875,10.0,1
15021-36-11-3,3,1,20.0,1,0.0,1,0,102.967529296875,9.0,0
15021-36-11-4,3,2,16.0,1,1.0,0,0,102.967529296875,5.0,0
15021-36-11-5,6,2,70.0,1,1.0,0,0,102.967529296875,7.0,0
15021-47-11-1,1,2,41.0,1,0.0,0,0,102.967529296875,7.0,0
15021-47-11-2,2,1,40.0,1,0.0,1,1,102.967529296875,10.0,1
15021-47-11-3,3,2,13.0,0,,0,0,102.967529296875,4.0,0
15021-47-11-4,3,2,9.0,0,,0,0,102.967529296875,3.0,0
15021-59-11-1,1,1,48.0,1,0.0,1,0,102.967529296875,8.0,0
15021-59-11-2,2,2,51.0,1,0.0,1,0,102.967529296875,8.0,0
15021-59-11-3,3,1,26.0,1,0.0,1,1,102.967529296875,9.0,0
15021-59-11-4,3,1,17.0,1,0.0,0,0,102.967529296875,5.0,0
15021-59-11-5,3,2,14.0,1,0.0,0,0,102.967529296875,5.0,0
15021-59-11-6,0, ,,0,,0,0,102.967529296875,,0
15021-59-11-7,0, ,,0,,0,0,102.967529296875,,0
15021-59-11-8,0, ,,0,,0,0,102.967529296875,,0
15023-34-11-1,1,1,32.0,1,0.0,1,1,102.967529296875,11.0,1
15023-34-11-2,2,2,29.0,1,0.0,1,1,102.967529296875,10.0,1
