CONGLOME,VIVIENDA,HOGAR,CODPERSO,P203,P207,P208A,P301A,P301B,P507,P510A1,P511A,P512A,P558E1_4,P558E1_8,P558E1_9,DOMINIO,ESTRATO,PANEL,FACTOR07,MIEPERHO,llave_persona,Edad,Ocupado,P510A1_num,P511A_num,P507_num,Informal,CreditoFormal,Billetera
015009,012,11,01,1,1,45,11,2,3, ,1,5,4.0,8.0,9.0,4,4, ,"87,2856903076172",2,015009-012-11-01,45.0,1,,1.0,3.0,0.0,1,1
015009,012,11,02,3,2,20,9,2,2,3, ,1,0.0,8.0,0.0,4,4, ,"87,2856903076172",2,015009-012-11-02,20.0,1,3.0,,2.0,1.0,0,1
015009,025,11,01,1,1,42,6,5,1,2, ,1,0.0,8.0,9.0,4,4, ,"87,2856903076172",6,015009-025-11-01,42.0,1,2.0,,1.0,0.0,1,1
015009,025,11,02,2,2,36,5,3,2,3, ,1,0.0,8.0,9.0,4,4, ,"87,2856903076172",6,015009-025-11-02,36.0,1,3.0,,2.0,1.0,1,1
015009,025,11,03,3,2,18,6,5, , , , ,0.0,0.0,0.0,4,4, ,"87,2856903076172",6,015009-025-11-03,18.0,1,,,,0.0,0,0
015009,025,11,04,3,2,16,5,4, , , , ,0.0,0.0,0.0,4,4, ,"87,2856903076172",6,015009-025-11-04,16.0,1,,,,0.0,0,0
015009,025,11,05,3,2,8,3,0,,,,,0.0,0.0,0.0,4,4, ,"87,2856903076172",6,015009-025-11-05,8.0,0,,,,,0,0
015009,025,11,06,3,2,8,3,0,,,,,0.0,0.0,0.0,4,4, ,"87,2856903076172",6,015009-025-11-06,8.0,0,,,,,0,0
015009,049,11,01,1,2,44,8,3,3,1,1,2,0.0,8.0,0.0,4,4, ,"87,2856903076172",3,015009-049-11-01,44.0,1,1.0,1.0,3.0,0.0,0,1
015009,049,11,02,3,1,24,10,5,2,3, ,1,4.0,8.0,9.0,4,4, ,"87,2856903076172",3,015009-049-11-02,24.0,1,3.0,,2.0,1.0,1,1
015009,049,11,03,3,1,5,2,2,,,,,0.0,0.0,0.0,4,4, ,"87,2856903076172",3,015009-049-11-03,5.0,0,,,,,0,0
015009,061,11,01,1,2,78,1, ,2,3, ,1,0.0,0.0,0.0,4,4, ,"87,2856903076172",1,015009-061-11-01,78.0,1,3.0,,2.0,1.0,0,0
015009,074,11,01,1,2,33,10,5,3, ,5,5,0.0,8.0,9.0,4,4, ,"87,2856903076172",3,015009-074-11-01,33.0,1,,5.0,3.0,0.0,1,1
015009,074,11,02,2,1,27,10,5,3, ,5,5,0.0,8.0,0.0,4,4, ,"87,2856903076172",3,015009-074-11-02,27.0,1,,5.0,3.0,0.0,0,1
015009,074,11,03,3,2,0,,,,,,,0.0,0.0,0.0,4,4, ,"87,2856903076172",3,015009-074-11-03,0.0,0,,,,,0,0
015009,086,11,01,1,2,64,6,5,2,3, ,1,0.0,8.0,0.0,4,4, ,"87,2856903076172",2,015009-086-11-01,64.0,1,3.0,,2.0,1.0,0,1
015009,086,11,02,3,2,25,8,3,3, ,4,5,0.0,8.0,0.0,4,4, ,"87,2856903076172",2,015009-086-11-02,25.0,1,,4.0,3.0,0.0,0,1
015009,130,11,01,1,2,76,4,5, , , , ,0.0,0.0,0.0,4,4, ,"87,2856903076172",1,015009-130-11-01,76.0,1,,,,0.0,0,0
015024,026,11,01,1,1,68,4,5,1,3, ,1,0.0,0.0,0.0,4,4,1,"288,225769042969",2,015024-026-11-01,68.0,1,3.0,,1.0,1.0,0,0
015024,026,11,02,2,2,56,1, ,2,3, ,1,0.0,0.0,0.0,4,4,1,"288,225769042969",2,015024-026-11-02,56.0,1,3.0,,2.0,1.0,0,0
015024,026,11,03,0, , ,,,,,,,0.0,0.0,0.0,4,4,1,"288,225769042969",2,015024-026-11-03,,0,,,,,0,0
015024,039,11,01,1,2,56,4,0,2,3, ,1,0.0,8.0,0.0,4,4,1,"288,225769042969",2,015024-039-11-01,56.0,1,3.0,,2.0,1.0,0,1
015024,039,11,02,6,2,90,1, , , , , ,0.0,0.0,0.0,4,4,1,"288,225769042969",2,015024-039-11-02,90.0,1,,,,0.0,0,0
015024,039,11,03,3,2,35,,,,,,,0.0,0.0,0.0,4,4,1,"288,225769042969",2,015024-039-11-03,35.0,0,,,,,0,0
015024,039,11,04,5,2,9,,,,,,,0.0,0.0,0.0,4,4,1,"288,225769042969",2,015024-039-11-04,9.0,0,,,,,0,0
015024,039,11,05,5,1,2,,,,,,,0.0,0.0,0.0,4,4,1,"288,225769042969",2,015024-039-11-05,2.0,0,,,,,0,0
015024,069,11,01,1,2,27,8,3,3,1,7,2,0.0,8.0,0.0,4,4,1,"288,225769042969",3,015024-069-11-01,27.0,1,1.0,7.0,3.0,1.0,0,1
015024,069,11,02,3,1,2,,,,,,,0.0,0.0,0.0,4,4,1,"288,225769042969",3,015024-069-11-02,2.0,0,,,,,0,0
015024,069,11,03,11,2,18,6,5,6, ,7,1,0.0,8.0,0.0,4,4,1,"288,225769042969",3,015024-069-11-03,18.0,1,,7.0,6.0,1.0,0,1
015024,098,11,01,1,1,37,10,5,3, ,1,5,0.0,8.0,9.0,4,4,1,"288,225769042969",4,015024-098-11-01,37.0,1,,1.0,3.0,0.0,1,1
015024,098,11,02,2,2,30,8,3,5,2,7,1,0.0,8.0,0.0,4,4,1,"288,225769042969",4,015024-098-11-02,30.0,1,2.0,7.0,5.0,1.0,0,1
015024,098,11,03,3,2,12,5,1,,,,,0.0,0.0,0.0,4,4,1,"288,225769042969",4,015024-098-11-03,12.0,0,,,,,0,0
015024,098,11,04,3,2,1,,,,,,,0.0,0.0,0.0,4,4,1,"288,225769042969",4,015024-098-11-04,1.0,0,,,,,0,0
015024,123,11,01,1,2,30,8,3,2,3, ,1,0.0,8.0,0.0,4,4,1,"288,225769042969",4,015024-123-11-01,30.0,1,3.0,,2.0,1.0,0,1
015024,123,11,02,2,1,33,8,3,2,3, ,1,0.0,8.0,9.0,4,4,1,"288,225769042969",4,015024-123-11-02,33.0,1,3.0,,2.0,1.0,1,1
015024,123,11,03,3,2,1,,,,,,,0.0,0.0,0.0,4,4,1,"288,225769042969",4,015024-123-11-03,1.0,0,,,,,0,0
015024,123,11,04,11,2,25,7,2,3,2,2,1,0.0,8.0,9.0,4,4,1,"288,225769042969",4,015024-123-11-04,25.0,1,2.0,2.0,3.0,0.0,1,1
015024,123,11,05,11,1,18,,,,,,,0.0,0.0,0.0,4,4,1,"288,225769042969",4,015024-123-11-05,18.0,0,,,,,0,0
015029,003,11,01,1,2,66,1, ,2,3, ,1,0.0,0.0,0.0,4,5,1,"288,225769042969",1,015029-003-11-01,66.0,1,3.0,,2.0,1.0,0,0
015029,003,11,02,0, , ,,,,,,,0.0,0.0,0.0,4,5,1,"288,225769042969",1,015029-003-11-02,,0,,,,,0,0
015029,003,11,03,0, , ,,,,,,,0.0,0.0,0.0,4,5,1,"288,225769042969",1,015029-003-11-03,,0,,,,,0,0
015029,003,11,04,0, , ,,,,,,,0.0,0.0,0.0,4,5,1,"288,225769042969",1,015029-003-11-04,,0,,,,,0,0
015029,003,11,05,0, , ,,,,,,,0.0,0.0,0.0,4,5,1,"288,225769042969",1,015029-003-11-05,,0,,,,,0,0
015029,017,11,01,1,2,63,1, ,2,3, ,1,0.0,0.0,0.0,4,5,1,"288,225769042969",5,015029-017-11-01,63.0,1,3.0,,2.0,1.0,0,0
015029,017,11,02,3,1,41,4,0, , , , ,0.0,0.0,0.0,4,5,1,"288,225769042969",5,015029-017-11-02,41.0,1,,,,0.0,0,0
015029,017,11,03,3,1,21,6,5,4,3,7,1,0.0,8.0,0.0,4,5,1,"288,225769042969",5,015029-017-11-03,21.0,1,3.0,7.0,4.0,1.0,0,1
015029,017,11,04,3,2,19,6,5,6, ,7,1,0.0,8.0,0.0,4,5,1,"288,225769042969",5,015029-017-11-04,19.0,1,,7.0,6.0,1.0,0,1
015029,017,11,05,5,2,4,2,1,,,,,0.0,0.0,0.0,4,5,1,"288,225769042969",5,015029-017-11-05,4.0,0,,,,,0,0
015029,047,11,01,1,1,59,11,2,3, ,1,5,0.0,8.0,9.0,4,5,1,"288,225769042969",3,015029-047-11-01,59.0,1,,1.0,3.0,0.0,1,1
015029,047,11,02,2,2,52,11,2,2,3, ,1,0.0,0.0,0.0,4,5,1,"288,225769042969",3,015029-047-11-02,52.0,1,3.0,,2.0,1.0,0,0
