llave_persona,P203,P207,Edad,Ocupado,Informal,TenenciaBilletera,UsoBilletera,CreditoFormal_2024,FACTOR07,P301A,ESTRATO,DOMINIO,MIEPERHO,CONGLOME,CreditoFormal_2025,CreditoInformal_2025,P203_num,Ocupado_num,CreditoFormal_2024_num,CreditoFormal_2025_num,Informal_num,NuevoCredito
15085-40-11-1,1,1,47.0,1,1.0,0,0,0,80.3816604614258,5.0,8,4,3,15085,0,0,1,1,0,0,1.0,0
15096-25-11-1,1,1,75.0,1,1.0,0,0,0,74.3708267211914,3.0,7,4,2,15096,0,0,1,1,0,0,1.0,0
15096-26-11-1,1,1,74.0,1,1.0,0,0,0,74.3708267211914,6.0,7,4,4,15096,0,0,1,1,0,0,1.0,0
15096-27-11-1,1,2,32.0,1,1.0,1,1,0,74.3708267211914,6.0,7,4,4,15096,0,0,1,1,0,0,1.0,0
15096-87-11-1,1,1,57.0,1,1.0,0,0,0,74.3708267211914,3.0,7,4,4,15096,0,0,1,1,0,0,1.0,0
15096-89-11-1,1,1,38.0,1,0.0,0,0,0,74.3708267211914,4.0,7,4,1,15096,1,1,1,1,0,1,0.0,1
15097-3-11-1,1,1,56.0,1,1.0,0,0,0,80.3816604614258,9.0,8,4,2,15097,0,0,1,1,0,0,1.0,0
15097-62-11-1,1,1,45.0,1,0.0,0,0,0,80.3816604614258,4.0,8,4,3,15097,0,0,1,1,0,0,0.0,0
15098-24-11-1,1,1,68.0,1,1.0,0,0,0,80.3816604614258,4.0,6,4,2,15098,0,0,1,1,0,0,1.0,0
15098-32-11-1,1,1,56.0,1,1.0,0,0,0,80.3816604614258,5.0,6,4,1,15098,0,0,1,1,0,0,1.0,0
15098-50-11-1,1,1,59.0,1,1.0,0,0,0,80.3816604614258,3.0,6,4,4,15098,0,0,1,1,0,0,1.0,0
15098-67-11-1,1,1,56.0,1,1.0,0,0,0,80.3816604614258,4.0,6,4,2,15098,0,0,1,1,0,0,1.0,0
15098-85-11-1,1,1,62.0,1,1.0,0,0,0,80.3816604614258,4.0,6,4,4,15098,0,0,1,1,0,0,1.0,0
15099-74-11-1,1,1,37.0,1,1.0,1,0,0,78.585823059082,4.0,7,4,5,15099,0,0,1,1,0,0,1.0,0
15099-158-11-1,1,1,49.0,1,1.0,0,0,0,78.585823059082,3.0,7,4,3,15099,0,0,1,1,0,0,1.0,0
15099-159-11-1,1,1,75.0,1,1.0,0,0,0,78.585823059082,4.0,7,4,2,15099,0,0,1,1,0,0,1.0,0
15100-3-11-1,1,1,72.0,1,1.0,0,0,0,74.3708267211914,4.0,8,4,2,15100,0,0,1,1,0,0,1.0,0
15100-21-11-1,1,1,64.0,1,0.0,0,0,0,74.3708267211914,4.0,8,4,1,15100,0,0,1,1,0,0,0.0,0
15100-22-11-1,1,1,69.0,1,1.0,0,0,0,74.3708267211914,4.0,8,4,1,15100,0,0,1,1,0,0,1.0,0
15100-23-11-1,1,1,68.0,1,1.0,0,0,0,74.3708267211914,4.0,8,4,5,15100,0,0,1,1,0,0,1.0,0
15100-24-11-1,1,1,64.0,1,1.0,0,0,0,74.3708267211914,4.0,8,4,2,15100,0,0,1,1,0,0,1.0,0
15101-15-11-1,1,1,44.0,1,1.0,1,0,0,72.2517242431641,6.0,6,4,2,15101,0,0,1,1,0,0,1.0,0
15101-23-11-1,1,1,47.0,1,1.0,0,0,0,72.2517242431641,7.0,6,4,4,15101,0,0,1,1,0,0,1.0,0
15101-41-11-1,1,1,40.0,1,1.0,0,0,0,72.2517242431641,7.0,6,4,4,15101,0,0,1,1,0,0,1.0,0
15101-73-11-1,1,1,42.0,1,1.0,1,0,0,72.2517242431641,4.0,6,4,4,15101,0,0,1,1,0,0,1.0,0
15101-82-11-1,1,1,57.0,1,1.0,0,0,0,72.2517242431641,3.0,6,4,1,15101,0,0,1,1,0,0,1.0,0
15102-10-11-1,1,1,53.0,1,1.0,0,0,0,80.3816604614258,3.0,7,4,5,15102,0,0,1,1,0,0,1.0,0
15102-73-11-1,1,1,31.0,1,1.0,1,0,0,80.3816604614258,8.0,7,4,1,15102,0,0,1,1,0,0,1.0,0
15102-75-11-1,1,2,64.0,1,1.0,0,0,0,80.3816604614258,3.0,7,4,1,15102,0,0,1,1,0,0,1.0,0
15102-78-11-1,1,1,57.0,1,1.0,0,0,0,80.3816604614258,4.0,7,4,2,15102,0,0,1,1,0,0,1.0,0
15103-9-11-1,1,1,59.0,1,1.0,0,0,0,78.585823059082,3.0,8,4,3,15103,0,0,1,1,0,0,1.0,0
15103-12-11-1,1,1,46.0,1,1.0,0,0,0,78.585823059082,4.0,8,4,9,15103,0,0,1,1,0,0,1.0,0
15103-20-11-1,1,1,60.0,1,1.0,0,0,0,78.585823059082,4.0,8,4,3,15103,0,0,1,1,0,0,1.0,0
15104-5-11-1,1,2,41.0,1,0.0,0,0,0,72.2517242431641,4.0,7,4,5,15104,0,0,1,1,0,0,0.0,0
15104-6-11-1,1,2,44.0,1,1.0,0,0,0,72.2517242431641,5.0,7,4,3,15104,0,0,1,1,0,0,1.0,0
15104-7-11-1,1,1,80.0,1,1.0,0,0,0,72.2517242431641,3.0,7,4,3,15104,0,0,1,1,0,0,1.0,0
15104-8-11-1,1,1,43.0,1,1.0,0,0,0,72.2517242431641,4.0,7,4,5,15104,0,0,1,1,0,0,1.0,0
15104-66-11-1,1,1,57.0,1,1.0,0,0,0,72.2517242431641,3.0,7,4,5,15104,0,0,1,1,0,0,1.0,0
15104-68-11-1,1,1,46.0,1,1.0,1,0,0,72.2517242431641,6.0,7,4,6,15104,1,0,1,1,0,1,1.0,1
15104-69-11-1,1,1,55.0,1,1.0,0,0,0,72.2517242431641,3.0,7,4,6,15104,0,1,1,1,0,0,1.0,0
15121-41-11-1,1,1,45.0,1,1.0,0,0,0,65.2061309814453,6.0,7,7,4,15121,0,0,1,1,0,0,1.0,0
15121-42-11-1,1,1,65.0,1,1.0,0,0,0,65.2061309814453,5.0,7,7,6,15121,0,0,1,1,0,0,1.0,0
