llave_persona,P203,P207,Edad,Ocupado,Informal,TenenciaBilletera,UsoBilletera,CreditoFormal_2024,FACTOR07,P301A,ESTRATO,DOMINIO,MIEPERHO,CONGLOME,CreditoFormal_2025,CreditoInformal_2025,P203_num,Ocupado_num,CreditoFormal_2024_num,CreditoFormal_2025_num,Informal_num,NuevoCredito
16487-263-11-1,1,1,78.0,1,1.0,0,0,0,273.348999023438,3.0,7,6,2,16487,0,0,1,1,0,0,1.0,0
16487-264-11-1,1,1,58.0,1,1.0,0,0,0,273.348999023438,6.0,7,6,2,16487,0,0,1,1,0,0,1.0,0
16487-265-11-1,1,1,59.0,1,1.0,0,0,0,273.348999023438,8.0,7,6,6,16487,0,0,1,1,0,0,1.0,0
16487-267-11-1,1,2,54.0,1,1.0,0,0,0,273.348999023438,3.0,7,6,2,16487,0,0,1,1,0,0,1.0,0
16488-6-11-1,1,1,54.0,1,1.0,0,0,0,281.27685546875,3.0,8,6,2,16488,0,0,1,1,0,0,1.0,0
16488-7-11-1,1,1,62.0,1,1.0,0,0,0,281.27685546875,3.0,8,6,2,16488,0,0,1,1,0,0,1.0,0
16488-8-11-1,1,1,75.0,1,1.0,0,0,0,281.27685546875,3.0,8,6,2,16488,0,0,1,1,0,0,1.0,0
16488-58-11-1,1,2,80.0,1,1.0,1,0,0,281.27685546875,1.0,8,6,1,16488,0,0,1,1,0,0,1.0,0
16488-59-11-1,1,2,49.0,1,1.0,0,0,0,281.27685546875,3.0,8,6,3,16488,0,0,1,1,0,0,1.0,0
16488-61-11-1,1,1,68.0,1,1.0,0,0,0,281.27685546875,1.0,8,6,2,16488,0,0,1,1,0,0,1.0,0
16488-62-11-1,1,1,66.0,1,1.0,0,0,0,281.27685546875,3.0,8,6,3,16488,0,0,1,1,0,0,1.0,0
16489-1-11-1,1,2,80.0,1,1.0,0,0,0,273.348999023438,1.0,7,6,1,16489,0,0,1,1,0,0,1.0,0
16489-2-11-1,1,1,62.0,1,1.0,0,0,0,273.348999023438,3.0,7,6,3,16489,0,0,1,1,0,0,1.0,0
16489-3-11-1,1,1,48.0,1,1.0,0,0,0,273.348999023438,3.0,7,6,5,16489,0,0,1,1,0,0,1.0,0
16489-4-11-1,1,1,66.0,1,1.0,0,0,0,273.348999023438,3.0,7,6,1,16489,0,0,1,1,0,0,1.0,0
16489-145-11-1,1,1,35.0,1,1.0,0,0,0,273.348999023438,4.0,7,6,4,16489,0,0,1,1,0,0,1.0,0
16489-146-11-1,1,1,35.0,1,1.0,0,0,0,273.348999023438,3.0,7,6,5,16489,0,0,1,1,0,0,1.0,0
16489-147-11-1,1,1,45.0,1,1.0,0,0,0,273.348999023438,3.0,7,6,7,16489,0,0,1,1,0,0,1.0,0
16489-148-11-1,1,2,82.0,1,1.0,0,0,0,273.348999023438,1.0,7,6,1,16489,0,0,1,1,0,0,1.0,0
16490-270-11-1,1,1,67.0,1,1.0,1,1,0,281.27685546875,3.0,7,6,2,16490,0,0,1,1,0,0,1.0,0
16490-272-11-1,1,1,55.0,1,1.0,0,0,0,281.27685546875,3.0,7,6,5,16490,0,0,1,1,0,0,1.0,0
16490-521-11-1,1,2,56.0,1,1.0,0,0,0,281.27685546875,3.0,7,6,1,16490,0,0,1,1,0,0,1.0,0
16490-523-11-1,1,1,58.0,1,1.0,0,0,0,281.27685546875,3.0,7,6,2,16490,0,0,1,1,0,0,1.0,0
16490-524-11-1,1,1,67.0,1,1.0,0,0,0,281.27685546875,3.0,7,6,1,16490,0,0,1,1,0,0,1.0,0
16490-525-11-1,1,1,61.0,1,1.0,0,0,0,281.27685546875,3.0,7,6,2,16490,0,0,1,1,0,0,1.0,0
16491-130-11-1,1,2,65.0,1,1.0,0,0,0,281.27685546875,3.0,7,6,3,16491,0,0,1,1,0,0,1.0,0
16491-132-11-1,1,1,73.0,1,1.0,0,0,0,281.27685546875,3.0,7,6,2,16491,0,0,1,1,0,0,1.0,0
16491-281-11-1,1,2,46.0,1,1.0,0,0,0,281.27685546875,8.0,7,6,8,16491,0,0,1,1,0,0,1.0,0
16491-282-11-1,1,1,70.0,1,1.0,0,0,0,281.27685546875,3.0,7,6,2,16491,0,0,1,1,0,0,1.0,0
16491-283-11-1,1,1,75.0,1,1.0,0,0,0,281.27685546875,4.0,7,6,1,16491,0,0,1,1,0,0,1.0,0
16491-288-11-1,1,2,75.0,1,1.0,0,0,0,281.27685546875,1.0,7,6,2,16491,0,0,1,1,0,0,1.0,0
16493-18-11-1,1,2,84.0,1,1.0,0,0,0,273.348999023438,1.0,8,6,4,16493,0,0,1,1,0,0,1.0,0
16493-20-11-1,1,1,41.0,1,1.0,0,0,0,273.348999023438,6.0,8,6,5,16493,0,0,1,1,0,0,1.0,0
16493-46-11-1,1,1,67.0,1,1.0,0,0,0,273.348999023438,4.0,8,6,1,16493,0,0,1,1,0,0,1.0,0
16493-47-11-1,1,1,65.0,1,1.0,0,0,0,273.348999023438,5.0,8,6,3,16493,0,0,1,1,0,0,1.0,0
16493-49-11-1,1,2,82.0,1,1.0,0,0,0,273.348999023438,1.0,8,6,1,16493,0,0,1,1,0,0,1.0,0
16493-50-11-1,1,1,42.0,1,1.0,0,0,0,273.348999023438,4.0,8,6,6,16493,0,0,1,1,0,0,1.0,0
16493-51-11-1,1,1,86.0,1,1.0,0,0,0,273.348999023438,3.0,8,6,2,16493,0,0,1,1,0,0,1.0,0
16493-57-11-1,1,1,52.0,1,1.0,0,0,0,273.348999023438,5.0,8,6,4,16493,0,0,1,1,0,0,1.0,0
16494-12-11-1,1,1,52.0,1,0.0,0,0,0,281.27685546875,8.0,6,6,3,16494,0,0,1,1,0,0,0.0,0
16494-29-11-1,1,2,47.0,1,1.0,0,0,0,281.27685546875,4.0,6,6,3,16494,0,0,1,1,0,0,1.0,0
16494-36-11-1,1,2,77.0,1,1.0,0,0,0,281.27685546875,3.0,6,6,1,16494,0,0,1,1,0,0,1.0,0
16494-70-11-1,1,1,65.0,1,0.0,0,0,0,281.27685546875,6.0,6,6,2,16494,0,0,1,1,0,0,0.0,0
16494-78-11-1,1,1,41.0,1,1.0,0,0,0,281.27685546875,6.0,6,6,5,16494,1,0,1,1,0,1,1.0,1
16495-18-11-1,1,1,36.0,1,1.0,0,0,0,281.27685546875,5.0,7,6,5,16495,0,0,1,1,0,0,1.0,0
16495-19-11-1,1,1,83.0,1,1.0,0,0,0,281.27685546875,3.0,7,6,1,16495,0,0,1,1,0,0,1.0,0
16495-20-11-1,1,2,65.0,1,1.0,0,0,0,281.27685546875,4.0,7,6,1,16495,0,0,1,1,0,0,1.0,0
16495-120-11-1,1,1,82.0,1,1.0,0,0,0,281.27685546875,3.0,7,6,1,16495,0,0,1,1,0,0,1.0,0
16495-121-11-1,1,2,54.0,1,1.0,0,0,0,281.27685546875,1.0,7,6,2,16495,0,0,1,1,0,0,1.0,0
16495-122-11-1,1,1,55.0,1,1.0,0,0,0,281.27685546875,3.0,7,6,2,16495,1,0,1,1,0,1,1.0,1
16495-123-11-1,1,1,88.0,1,1.0,0,0,0,281.27685546875,3.0,7,6,1,16495,0,0,1,1,0,0,1.0,0
16495-124-11-1,1,1,64.0,1,1.0,0,0,0,281.27685546875,5.0,7,6,2,16495,0,0,1,1,0,0,1.0,0
16496-2-11-1,1,1,39.0,1,1.0,1,0,0,273.348999023438,6.0,7,6,5,16496,0,0,1,1,0,0,1.0,0
16496-3-11-1,1,1,45.0,1,1.0,0,0,0,273.348999023438,6.0,7,6,3,16496,0,0,1,1,0,0,1.0,0
16496-92-11-1,1,1,48.0,1,1.0,0,0,0,273.348999023438,4.0,7,6,3,16496,0,0,1,1,0,0,1.0,0
16496-93-11-1,1,1,63.0,1,1.0,0,0,0,273.348999023438,5.0,7,6,2,16496,0,0,1,1,0,0,1.0,0
16496-95-11-1,1,2,49.0,1,1.0,0,0,0,273.348999023438,3.0,7,6,1,16496,0,0,1,1,0,0,1.0,0
16496-96-11-1,1,1,52.0,1,1.0,0,0,0,273.348999023438,5.0,7,6,4,16496,0,0,1,1,0,0,1.0,0
16498-73-11-1,1,1,68.0,1,1.0,0,0,0,302.951477050781,4.0,7,6,4,16498,0,0,1,1,0,0,1.0,0
16498-75-11-1,1,2,65.0,1,1.0,0,0,0,302.951477050781,1.0,7,6,1,16498,0,0,1,1,0,0,1.0,0
16498-76-11-1,1,1,56.0,1,1.0,0,0,0,302.951477050781,3.0,7,6,3,16498,0,0,1,1,0,0,1.0,0
16498-155-11-1,1,1,65.0,1,1.0,0,0,0,302.951477050781,3.0,7,6,5,16498,0,0,1,1,0,0,1.0,0
16498-158-11-1,1,1,30.0,1,1.0,0,0,0,302.951477050781,6.0,7,6,4,16498,0,0,1,1,0,0,1.0,0
16498-161-11-1,1,1,61.0,1,1.0,0,0,0,302.951477050781,7.0,7,6,4,16498,0,0,1,1,0,0,1.0,0
16517-6-11-1,1,1,59.0,1,1.0,0,0,0,200.586715698242,2.0,8,7,2,16517,0,0,1,1,0,0,1.0,0
16517-8-11-1,1,1,46.0,1,1.0,0,0,0,200.586715698242,5.0,8,7,3,16517,0,0,1,1,0,0,1.0,0
16517-40-11-1,1,2,68.0,1,1.0,0,0,0,200.586715698242,3.0,8,7,4,16517,0,0,1,1,0,0,1.0,0
16517-42-11-1,1,1,46.0,1,1.0,0,0,0,200.586715698242,5.0,8,7,5,16517,0,0,1,1,0,0,1.0,0
16517-48-11-1,1,1,63.0,1,1.0,0,0,0,200.586715698242,3.0,8,7,2,16517,0,0,1,1,0,0,1.0,0
16518-25-11-1,1,1,27.0,1,0.0,0,0,0,200.586715698242,6.0,7,7,3,16518,0,0,1,1,0,0,0.0,0
16518-26-11-1,1,1,39.0,1,1.0,0,0,0,200.586715698242,5.0,7,7,6,16518,1,0,1,1,0,1,1.0,1
16518-28-11-1,1,1,30.0,1,0.0,0,0,0,200.586715698242,6.0,7,7,4,16518,0,0,1,1,0,0,0.0,0
16518-100-11-1,1,1,51.0,1,0.0,0,0,0,200.586715698242,1.0,7,7,3,16518,0,0,1,1,0,0,0.0,0
16533-1-11-1,1,1,49.0,1,1.0,0,0,0,1.11623513698578,8.0,4,5,5,16533,0,0,1,1,0,0,1.0,0
16533-41-11-1,1,1,49.0,1,0.0,1,0,0,1.11623513698578,11.0,4,5,3,16533,0,0,1,1,0,0,0.0,0
16533-80-11-1,1,2,52.0,1,0.0,0,0,0,1.11623513698578,10.0,4,5,2,16533,0,0,1,1,0,0,0.0,0
16533-105-11-1,1,1,67.0,1,0.0,1,0,0,1.11623513698578,6.0,4,5,4,16533,0,0,1,1,0,0,0.0,0
16533-119-11-1,1,1,52.0,1,0.0,0,0,0,1.11623513698578,6.0,4,5,7,16533,0,0,1,1,0,0,0.0,0
16534-35-11-1,1,1,55.0,1,0.0,0,0,0,337.026519775391,6.0,4,5,4,16534,0,0,1,1,0,0,0.0,0
16534-74-11-1,1,1,45.0,1,0.0,0,0,0,337.026519775391,6.0,4,5,3,16534,1,0,1,1,0,1,0.0,1
16534-133-11-1,1,1,61.0,1,0.0,0,0,0,337.026519775391,6.0,4,5,5,16534,0,0,1,1,0,0,0.0,0
16535-11-11-1,1,1,35.0,1,0.0,0,0,0,348.890716552734,6.0,4,5,5,16535,0,0,1,1,0,0,0.0,0
16535-22-11-1,1,1,51.0,1,0.0,1,0,0,348.890716552734,8.0,4,5,3,16535,0,0,1,1,0,0,0.0,0
16535-33-11-1,1,2,29.0,1,1.0,0,0,0,348.890716552734,6.0,4,5,3,16535,0,0,1,1,0,0,1.0,0
16535-45-11-1,1,1,48.0,1,0.0,1,1,0,348.890716552734,5.0,4,5,4,16535,0,0,1,1,0,0,0.0,0
16536-4-11-1,1,1,37.0,1,1.0,0,0,0,241.651321411133,9.0,4,5,4,16536,1,0,1,1,0,1,1.0,1
16536-16-11-1,1,2,49.0,1,0.0,0,0,0,241.651321411133,10.0,4,5,3,16536,0,0,1,1,0,0,0.0,0
16536-85-11-1,1,2,58.0,1,1.0,0,0,0,241.651321411133,3.0,4,5,3,16536,0,0,1,1,0,0,1.0,0
16536-97-11-1,1,2,38.0,1,1.0,0,0,0,241.651321411133,6.0,4,5,4,16536,0,0,1,1,0,0,1.0,0
16536-120-11-1,1,2,50.0,1,1.0,0,0,0,241.651321411133,4.0,4,5,2,16536,0,0,1,1,0,0,1.0,0
16553-3-11-1,1,1,31.0,1,1.0,0,0,0,308.392700195313,6.0,5,5,5,16553,0,0,1,1,0,0,1.0,0
16553-27-11-1,1,1,39.0,1,1.0,1,0,0,308.392700195313,5.0,5,5,5,16553,0,0,1,1,0,0,1.0,0
16553-38-11-1,1,2,60.0,1,1.0,0,0,0,308.392700195313,3.0,5,5,2,16553,0,0,1,1,0,0,1.0,0
16553-50-11-1,1,1,48.0,1,1.0,0,0,0,308.392700195313,3.0,5,5,4,16553,0,0,1,1,0,0,1.0,0
16553-62-11-1,1,1,50.0,1,1.0,0,0,0,308.392700195313,5.0,5,5,2,16553,0,0,1,1,0,0,1.0,0
16553-74-11-1,1,2,43.0,1,1.0,0,0,0,308.392700195313,4.0,5,5,3,16553,0,0,1,1,0,0,1.0,0
16554-10-11-1,1,2,53.0,1,0.0,0,0,0,1.84336805343628,8.0,5,5,2,16554,1,0,1,1,0,1,0.0,1
16554-28-11-1,1,1,50.0,1,1.0,0,0,0,1.84336805343628,4.0,5,5,6,16554,0,0,1,1,0,0,1.0,0
16554-120-11-1,1,2,41.0,1,0.0,0,0,0,1.84336805343628,8.0,5,5,4,16554,1,0,1,1,0,1,0.0,1
16555-28-11-1,1,1,52.0,1,1.0,0,0,0,308.392700195313,3.0,5,5,5,16555,0,0,1,1,0,0,1.0,0
16555-55-11-1,1,1,80.0,1,1.0,0,0,0,308.392700195313,4.0,5,5,2,16555,0,0,1,1,0,0,1.0,0
16555-81-11-1,1,2,68.0,1,1.0,0,0,0,308.392700195313,3.0,5,5,1,16555,0,0,1,1,0,0,1.0,0
16555-93-11-1,1,2,72.0,1,1.0,0,0,0,308.392700195313,1.0,5,5,1,16555,0,0,1,1,0,0,1.0,0
16556-31-11-1,1,1,23.0,1,1.0,0,0,0,337.026519775391,10.0,5,5,1,16556,0,0,1,1,0,0,1.0,0
16556-108-11-1,1,1,88.0,1,1.0,0,0,0,337.026519775391,6.0,5,5,4,16556,0,0,1,1,0,0,1.0,0
16556-128-11-1,1,1,52.0,1,0.0,1,1,0,337.026519775391,10.0,5,5,5,16556,0,0,1,1,0,0,0.0,0
16558-32-11-1,1,1,64.0,1,1.0,0,0,0,348.890716552734,4.0,5,5,4,16558,0,0,1,1,0,0,1.0,0
16558-47-11-1,1,1,68.0,1,1.0,1,1,0,348.890716552734,3.0,5,5,2,16558,0,0,1,1,0,0,1.0,0
16559-3-11-1,1,1,48.0,1,1.0,0,0,0,322.201751708984,8.0,5,5,7,16559,0,0,1,1,0,0,1.0,0
16559-30-11-1,1,1,72.0,1,1.0,0,0,0,322.201751708984,8.0,5,5,1,16559,0,0,1,1,0,0,1.0,0
16559-44-11-1,1,1,52.0,1,1.0,0,0,0,322.201751708984,6.0,5,5,2,16559,0,0,1,1,0,0,1.0,0
16559-101-11-1,1,1,47.0,1,1.0,0,0,0,322.201751708984,5.0,5,5,6,16559,0,0,1,1,0,0,1.0,0
16583-125-11-1,1,2,72.0,1,1.0,0,0,0,156.397872924805,1.0,7,5,1,16583,0,0,1,1,0,0,1.0,0
16583-126-11-1,1,1,45.0,1,1.0,0,0,0,156.397872924805,6.0,7,5,7,16583,0,0,1,1,0,0,1.0,0
16583-127-11-1,1,1,35.0,1,1.0,0,0,0,156.397872924805,5.0,7,5,5,16583,0,0,1,1,0,0,1.0,0
16583-128-11-1,1,2,50.0,1,1.0,0,0,0,156.397872924805,1.0,7,5,5,16583,0,0,1,1,0,0,1.0,0
16583-430-11-1,1,2,57.0,1,1.0,0,0,0,156.397872924805,1.0,7,5,2,16583,0,0,1,1,0,0,1.0,0
16583-434-11-1,1,1,28.0,1,1.0,0,0,0,156.397872924805,6.0,7,5,2,16583,0,0,1,1,0,0,1.0,0
16583-435-11-1,1,1,35.0,1,1.0,0,0,0,156.397872924805,6.0,7,5,4,16583,0,0,1,1,0,0,1.0,0
16606-30-11-1,1,2,70.0,1,1.0,0,0,0,149.580154418945,5.0,7,5,1,16606,0,0,1,1,0,0,1.0,0
16606-31-11-1,1,1,54.0,1,1.0,0,0,0,149.580154418945,6.0,7,5,4,16606,0,0,1,1,0,0,1.0,0
16606-72-11-1,1,1,56.0,1,1.0,0,0,0,149.580154418945,3.0,7,5,5,16606,0,0,1,1,0,0,1.0,0
16606-73-11-1,1,1,63.0,1,1.0,0,0,0,149.580154418945,4.0,7,5,3,16606,0,0,1,1,0,0,1.0,0
16606-74-11-1,1,1,46.0,1,1.0,0,0,0,149.580154418945,6.0,7,5,4,16606,0,0,1,1,0,0,1.0,0
16606-75-11-1,1,2,74.0,1,1.0,0,0,0,149.580154418945,1.0,7,5,1,16606,0,0,1,1,0,0,1.0,0
16606-76-11-1,1,1,52.0,1,1.0,0,0,0,149.580154418945,3.0,7,5,3,16606,0,0,1,1,0,0,1.0,0
16615-9-11-1,1,1,62.0,1,0.0,0,0,0,163.693298339844,6.0,7,5,3,16615,0,0,1,1,0,0,0.0,0
16615-10-11-1,1,2,32.0,1,1.0,0,0,0,163.693298339844,6.0,7,5,4,16615,0,0,1,1,0,0,1.0,0
16615-91-11-1,1,1,47.0,1,1.0,0,0,0,163.693298339844,3.0,7,5,5,16615,0,0,1,1,0,0,1.0,0
16615-92-11-1,1,1,36.0,1,1.0,0,0,0,163.693298339844,6.0,7,5,4,16615,0,0,1,1,0,0,1.0,0
16615-93-11-1,1,1,51.0,1,1.0,0,0,0,163.693298339844,3.0,7,5,6,16615,0,0,1,1,0,0,1.0,0
16615-94-11-1,1,2,40.0,1,1.0,0,0,0,163.693298339844,5.0,7,5,6,16615,0,0,1,1,0,0,1.0,0
16615-95-11-1,1,2,71.0,1,1.0,0,0,0,163.693298339844,3.0,7,5,1,16615,0,0,1,1,0,0,1.0,0
16615-96-11-1,1,1,49.0,1,1.0,0,0,0,163.693298339844,4.0,7,5,5,16615,0,0,1,1,0,0,1.0,0
16631-7-11-1,1,2,89.0,1,1.0,0,0,0,150.620132446289,1.0,6,5,2,16631,0,0,1,1,0,0,1.0,0
16631-29-11-1,1,1,57.0,1,1.0,0,0,0,150.620132446289,4.0,6,5,3,16631,0,0,1,1,0,0,1.0,0
16631-62-11-1,1,2,48.0,1,1.0,0,0,0,150.620132446289,5.0,6,5,4,16631,0,0,1,1,0,0,1.0,0
16631-74-11-1,1,2,37.0,1,1.0,0,0,0,150.620132446289,4.0,6,5,4,16631,0,0,1,1,0,0,1.0,0
16631-107-11-1,1,1,67.0,1,1.0,0,0,0,150.620132446289,4.0,6,5,1,16631,0,0,1,1,0,0,1.0,0
16631-117-11-1,1,1,40.0,1,1.0,0,0,0,150.620132446289,4.0,6,5,7,16631,0,0,1,1,0,0,1.0,0
16632-10-11-1,1,2,43.0,1,1.0,1,1,0,149.580154418945,3.0,6,5,4,16632,0,0,1,1,0,0,1.0,0
16632-86-11-1,1,1,41.0,1,0.0,1,1,0,149.580154418945,6.0,6,5,6,16632,0,0,1,1,0,0,0.0,0
16633-68-11-1,1,1,60.0,1,1.0,0,0,0,163.693298339844,4.0,7,5,4,16633,0,0,1,1,0,0,1.0,0
16633-175-11-1,1,1,61.0,1,1.0,0,0,0,163.693298339844,4.0,7,5,1,16633,0,0,1,1,0,0,1.0,0
16633-177-11-1,1,2,86.0,1,1.0,0,0,0,163.693298339844,3.0,7,5,1,16633,0,0,1,1,0,0,1.0,0
16633-178-11-1,1,2,68.0,1,1.0,0,0,0,163.693298339844,1.0,7,5,1,16633,0,0,1,1,0,0,1.0,0
16633-180-11-1,1,2,69.0,1,1.0,0,0,0,163.693298339844,3.0,7,5,1,16633,0,0,1,1,0,0,1.0,0
16633-181-11-1,1,1,42.0,1,1.0,0,0,0,163.693298339844,6.0,7,5,7,16633,0,0,1,1,0,0,1.0,0
16634-98-11-1,1,2,73.0,1,1.0,0,0,0,150.620132446289,1.0,7,5,5,16634,0,0,1,1,0,0,1.0,0
16634-99-11-1,1,1,29.0,1,1.0,0,0,0,150.620132446289,5.0,7,5,3,16634,0,0,1,1,0,0,1.0,0
16634-100-11-1,1,1,59.0,1,1.0,0,0,0,150.620132446289,4.0,7,5,2,16634,0,0,1,1,0,0,1.0,0
16634-245-11-1,1,1,69.0,1,1.0,0,0,0,150.620132446289,3.0,7,5,2,16634,0,0,1,1,0,0,1.0,0
16634-246-11-1,1,1,55.0,1,1.0,0,0,0,150.620132446289,4.0,7,5,3,16634,0,0,1,1,0,0,1.0,0
16634-247-11-1,1,1,35.0,1,1.0,0,0,0,150.620132446289,6.0,7,5,4,16634,0,0,1,1,0,0,1.0,0
16634-248-11-1,1,2,39.0,1,1.0,0,0,0,150.620132446289,4.0,7,5,2,16634,0,0,1,1,0,0,1.0,0
16635-53-11-1,1,2,64.0,1,1.0,0,0,0,156.397872924805,1.0,7,5,2,16635,0,0,1,1,0,0,1.0,0
16635-55-11-1,1,1,43.0,1,1.0,0,0,0,156.397872924805,3.0,7,5,5,16635,0,0,1,1,0,0,1.0,0
16635-139-11-1,1,1,39.0,1,1.0,0,0,0,156.397872924805,6.0,7,5,5,16635,0,0,1,1,0,0,1.0,0
16635-140-11-1,1,2,85.0,1,1.0,0,0,0,156.397872924805,1.0,7,5,1,16635,0,0,1,1,0,0,1.0,0
16636-122-11-1,1,1,51.0,1,1.0,0,0,0,156.397872924805,5.0,7,5,4,16636,0,0,1,1,0,0,1.0,0
16636-123-11-1,1,2,64.0,1,1.0,0,0,0,156.397872924805,3.0,7,5,5,16636,0,0,1,1,0,0,1.0,0
16636-124-11-1,1,2,63.0,1,1.0,0,0,0,156.397872924805,4.0,7,5,3,16636,0,0,1,1,0,0,1.0,0
16636-190-11-1,1,1,41.0,1,1.0,0,0,0,156.397872924805,5.0,7,5,5,16636,0,0,1,1,0,0,1.0,0
16636-191-11-1,1,1,78.0,1,1.0,0,0,0,156.397872924805,3.0,7,5,2,16636,0,0,1,1,0,0,1.0,0
16636-192-11-1,1,2,80.0,1,0.0,0,0,0,156.397872924805,3.0,7,5,1,16636,0,0,1,1,0,0,0.0,0
16637-21-11-1,1,1,45.0,1,1.0,0,0,0,149.580154418945,6.0,7,5,5,16637,0,0,1,1,0,0,1.0,0
16637-24-11-1,1,1,83.0,1,1.0,0,0,0,149.580154418945,4.0,7,5,2,16637,0,0,1,1,0,0,1.0,0
16637-91-11-1,1,1,56.0,1,1.0,0,0,0,149.580154418945,5.0,7,5,2,16637,0,0,1,1,0,0,1.0,0
16637-92-11-1,1,1,45.0,1,1.0,0,0,0,149.580154418945,6.0,7,5,4,16637,0,0,1,1,0,0,1.0,0
16637-96-11-1,1,1,54.0,1,1.0,0,0,0,149.580154418945,6.0,7,5,3,16637,0,0,1,1,0,0,1.0,0
16638-34-11-1,1,1,46.0,1,1.0,0,0,0,150.620132446289,6.0,8,5,5,16638,0,0,1,1,0,0,1.0,0
16638-35-11-1,1,1,44.0,1,0.0,0,0,0,150.620132446289,6.0,8,5,5,16638,0,0,1,1,0,0,0.0,0
16638-36-11-1,1,1,40.0,1,1.0,0,0,0,150.620132446289,6.0,8,5,4,16638,0,0,1,1,0,0,1.0,0
16638-96-11-1,1,2,60.0,1,1.0,0,0,0,150.620132446289,3.0,8,5,1,16638,0,0,1,1,0,0,1.0,0
16638-97-11-1,1,2,34.0,1,0.0,0,0,0,150.620132446289,4.0,8,5,3,16638,0,0,1,1,0,0,0.0,0
16638-100-11-1,1,2,48.0,1,1.0,0,0,0,150.620132446289,3.0,8,5,1,16638,0,0,1,1,0,0,1.0,0
16638-101-11-1,1,1,69.0,1,1.0,0,0,0,150.620132446289,3.0,8,5,2,16638,0,0,1,1,0,0,1.0,0
16639-6-11-1,1,1,72.0,1,1.0,0,0,0,163.693298339844,5.0,6,5,1,16639,0,0,1,1,0,0,1.0,0
16639-21-11-1,1,1,50.0,1,1.0,0,0,0,163.693298339844,10.0,6,5,5,16639,1,0,1,1,0,1,1.0,1
16639-37-11-1,1,2,33.0,1,1.0,0,0,0,163.693298339844,6.0,6,5,5,16639,0,0,1,1,0,0,1.0,0
16639-69-11-1,1,2,52.0,1,1.0,0,0,0,163.693298339844,3.0,6,5,1,16639,0,0,1,1,0,0,1.0,0
16639-101-11-1,1,1,38.0,1,1.0,0,0,0,163.693298339844,4.0,6,5,5,16639,0,0,1,1,0,0,1.0,0
16639-116-11-1,1,1,49.0,1,0.0,0,0,0,163.693298339844,10.0,6,5,5,16639,1,0,1,1,0,1,0.0,1
16639-132-11-1,1,2,69.0,1,1.0,0,0,0,163.693298339844,8.0,6,5,2,16639,0,0,1,1,0,0,1.0,0
16639-148-11-1,1,1,66.0,1,1.0,0,0,0,163.693298339844,5.0,6,5,2,16639,0,0,1,1,0,0,1.0,0
16640-37-11-1,1,1,60.0,1,1.0,0,0,0,150.620132446289,5.0,6,5,2,16640,0,0,1,1,0,0,1.0,0
16640-76-11-1,1,1,56.0,1,0.0,0,0,0,150.620132446289,6.0,6,5,2,16640,0,0,1,1,0,0,0.0,0
16642-29-11-1,1,1,42.0,1,1.0,0,0,0,150.620132446289,5.0,7,5,6,16642,0,0,1,1,0,0,1.0,0
16642-30-11-1,1,2,27.0,1,1.0,0,0,0,150.620132446289,8.0,7,5,3,16642,0,0,1,1,0,0,1.0,0
16642-31-11-1,1,1,36.0,1,1.0,0,0,0,150.620132446289,6.0,7,5,5,16642,0,0,1,1,0,0,1.0,0
16642-32-11-1,1,1,79.0,1,1.0,0,0,0,150.620132446289,3.0,7,5,1,16642,0,0,1,1,0,0,1.0,0
16642-106-11-1,1,1,50.0,1,1.0,0,0,0,150.620132446289,4.0,7,5,4,16642,0,0,1,1,0,0,1.0,0
16642-108-11-1,1,2,39.0,1,1.0,0,0,0,150.620132446289,1.0,7,5,4,16642,0,0,1,1,0,0,1.0,0
16642-110-11-1,1,1,47.0,1,1.0,0,0,0,150.620132446289,5.0,7,5,2,16642,0,0,1,1,0,0,1.0,0
16645-197-11-1,1,2,76.0,1,1.0,0,0,0,163.693298339844,3.0,7,5,1,16645,0,0,1,1,0,0,1.0,0
16645-466-11-1,1,1,66.0,1,1.0,0,0,0,163.693298339844,4.0,7,5,3,16645,0,0,1,1,0,0,1.0,0
16645-467-11-1,1,1,62.0,1,1.0,0,0,0,163.693298339844,1.0,7,5,2,16645,0,0,1,1,0,0,1.0,0
16645-468-11-1,1,1,56.0,1,1.0,0,0,0,163.693298339844,3.0,7,5,3,16645,0,0,1,1,0,0,1.0,0
16645-469-11-1,1,2,66.0,1,1.0,0,0,0,163.693298339844,4.0,7,5,1,16645,0,0,1,1,0,0,1.0,0
16645-470-11-1,1,1,69.0,1,1.0,0,0,0,163.693298339844,4.0,7,5,2,16645,0,0,1,1,0,0,1.0,0
16646-20-11-1,1,2,69.0,1,1.0,0,0,0,163.693298339844,5.0,8,5,1,16646,0,0,1,1,0,0,1.0,0
16646-21-11-1,1,2,59.0,1,1.0,0,0,0,163.693298339844,4.0,8,5,1,16646,0,0,1,1,0,0,1.0,0
16646-24-11-1,1,2,74.0,1,1.0,0,0,0,163.693298339844,4.0,8,5,1,16646,0,0,1,1,0,0,1.0,0
16646-103-11-1,1,2,41.0,1,1.0,0,0,0,163.693298339844,6.0,8,5,5,16646,0,0,1,1,0,0,1.0,0
16647-1-11-1,1,2,75.0,1,1.0,0,0,0,149.580154418945,1.0,8,5,1,16647,0,0,1,1,0,0,1.0,0
16647-2-11-1,1,1,72.0,1,1.0,0,0,0,149.580154418945,5.0,8,5,2,16647,0,0,1,1,0,0,1.0,0
