CONGLOME,VIVIENDA,HOGAR,CODPERSO,P203,P207,P208A,P301A,P301B,P507,P510A1,P511A,P512A,P558E1_4,P558E1_8,P558E1_9,P558G7,P558H1_7,P558H2_7,P558H3_7,P558H4_7,P558H5_7,P558H6_7,P558H7_7,P558H8_7,P558H9_7,P558H10_7,P558H11_7,P558H12_7,DOMINIO,ESTRATO,PANEL,FACTOR07,GASHOG2,MIEPERHO,llave_persona,Edad,P507_num,P510A1_num,P511A_num,Ocupado,Informal,CreditoFormal,TenenciaBilletera,UsoBilletera,CreditoInformal
010651,013,11,01,1,1,74,8,3, , , , ,0.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4, ,115.81494140625,"35921,20703125",4,10651-13-11-1,74.0,,,,0,,0,1,0,0
010651,013,11,02,2,2,70,6,5,3,1,7,1,0.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4, ,115.81494140625,"35921,20703125",4,10651-13-11-2,70.0,3.0,1.0,7.0,1,1.0,0,1,0,0
010651,013,11,03,5,2,22,9,3, , , , ,0.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4, ,115.81494140625,"35921,20703125",4,10651-13-11-3,22.0,,,,0,,0,1,0,0
010651,013,11,04,5,1,19,6,5, , , , ,0.0,8.0,0.0,0,7,7,7,7,7,7,7,0,0,0,0,0,2,4, ,115.81494140625,"35921,20703125",4,10651-13-11-4,19.0,,,,0,,0,1,1,0
010651,026,11,01,1,1,48,6,5,1,1, ,1,0.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4, ,115.81494140625,"17307,408203125",5,10651-26-11-1,48.0,1.0,1.0,,1,0.0,0,1,0,0
010651,026,11,02,2,2,40,6,5,5,1,7,1,0.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4, ,115.81494140625,"17307,408203125",5,10651-26-11-2,40.0,5.0,1.0,7.0,1,1.0,0,1,0,0
010651,026,11,03,3,1,24,9,3, , , , ,0.0,8.0,0.0,0,0,7,7,7,7,7,7,7,7,7,0,0,2,4, ,115.81494140625,"17307,408203125",5,10651-26-11-3,24.0,,,,0,,0,1,1,0
010651,026,11,04,3,2,20,6,5, , , , ,0.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4, ,115.81494140625,"17307,408203125",5,10651-26-11-4,20.0,,,,0,,0,1,0,0
010651,026,11,05,6,2,89,4,5, , , , ,0.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4, ,115.81494140625,"17307,408203125",5,10651-26-11-5,89.0,,,,0,,0,1,0,0
010651,055,11,01,1,1,52,6,5,4,1,2,1,0.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4, ,115.81494140625,"22795,8125",4,10651-55-11-1,52.0,4.0,1.0,2.0,1,0.0,0,1,0,0
